employee_id,task_id,Task Description,Category,required_skills,employee_skills,skill_match_score,complexity_level,availability,past_performance,suitability_score
E34788,T55545,Develop ML models,data science,"['flask', 'matplotlib', 'catboost', 'vue']","['kafka', 'selenium', 'postgresql']",0.0,3,0.7060640280568102,0.44982664509138925,0.26141683111024394
E56073,T4372,Migrate services to Azure,cloud,"['big data', 'jenkins', 'figma', 'pandas', 'kubernetes', 'numpy', 'react']","['pandas', 'azure']",0.125,2,0.6741428261893204,0.5468454345180105,0.07701333761608029
E34169,T87102,Set up CI/CD pipeline,devops,"['selenium', 'kubernetes', 'sap', 'vue']",['matplotlib'],0.0,3,0.7156489527604463,0.7089314645992837,0.2363339269232466
E38655,T75468,Analyze customer churn,data science,"['transformer', 'pandas', 'spark', 'terraform', 'flask']","['linux', 'rest api', 'numpy']",0.0,3,0.7104505559512999,0.5868707558470772,0.06709986961145428
E5224,T25407,Train NLP models,ai/ml,"['transformer', 'sap', 'hibernate', 'git']","['pytorch', 'figma']",0.0,3,0.693346520103655,0.458645828079822,0.11463090976564269
E67264,T73117,Train NLP models,ai/ml,"['python', 'tensorflow', 'power bi', 'linux', 'spark']",['figma'],0.0,3,0.6602466152562076,0.38084257232637597,-0.089189018427561
E97003,T25167,Automate tests,testing,"['flask', 'prometheus', 'javascript', 'wordpress', 'IsolationForest', 'microservices']","['pytest', 'angular']",0.0,3,0.6057953428753236,0.7217572410694494,0.3461466383941042
E90617,T15598,Design UI,frontend,"['flask', 'django', 'sql', 'matplotlib', 'catboost']","['kubernetes', 'LSTM']",0.0,2,0.76001081866846,0.5210063426055492,0.2571913076313249
E59561,T12359,Design UI,frontend,"['IsolationForest', 'LSTM', 'java', 'wordpress', 'pandas', 'react']","['big data', 'mongodb']",0.0,3,0.8004727090131133,0.7053046835114332,0.23126177120819735
E16782,T72586,Develop ML models,data science,"['tableau', 'rest api', 'ARIMA', 'hibernate', 'sql', 'angular', 'power bi']","['terraform', 'mongodb']",0.0,3,0.6713307943092598,0.4309244005304005,0.08173493750394428
E66236,T32575,Develop API endpoints,backend,"['angular', 'wordpress', 'jira', 'catboost', 'LSTM', 'mongodb', 'git']","['c++', 'gcp']",0.0,2,0.7520480159362705,0.40044425219909907,0.3695875391449752
E39301,T93154,Monitor production systems,devops,"['docker', 'kubernetes', 'bash', 'aws', 'jenkins', 'css', 'scikit-learn']","['jenkins', 'sql']",0.125,3,0.8324704421199642,0.5307695330359641,0.33866097695758574
E29490,T72758,Optimize frontend performance,frontend,"['power bi', 'docker', 'transformer', 'kafka', 'pytest']","['kafka', 'kubernetes']",0.16666666666666666,2,0.6404445312795446,0.7234861754072078,0.3779919976050365
E23024,T91196,Migrate services to Azure,cloud,"['angular', 'pandas', 'oracle', 'html']",['rest api'],0.0,3,0.6742882429252185,0.4321271863246696,0.3540389577734564
E24568,T33625,Optimize frontend performance,frontend,"['big data', 'seo', 'kubernetes', 'c++']","['pytest', 'sap']",0.0,3,0.6943239223185785,0.49146545350153736,0.21692118355038628
E64763,T41379,Train NLP models,ai/ml,"['django', 'kafka', 'vue', 'matplotlib', 'node.js', 'kubernetes']","['javascript', 'jenkins', 'css']",0.0,3,0.7194811644292549,0.382612225744847,0.034719551628998174
E20627,T97595,Develop API endpoints,backend,"['react', 'kubernetes', 'selenium', 'mongodb', 'aws', 'tableau', 'transformer']","['git', 'python']",0.0,3,0.6893251394076748,0.4743525727776903,0.04007966407662686
E82068,T92790,Migrate services to Azure,cloud,"['kafka', 'pytorch', 'LSTM', 'gcp', 'bash', 'git']","['java', 'linux', 'aws']",0.0,3,0.6715980774044306,0.35715855574014055,-0.09705020737615172
E49825,T70424,Develop API endpoints,backend,"['git', 'ARIMA', 'c++', 'spring', 'sap', 'rest api', 'hibernate']","['css', 'microservices', 'pytest']",0.0,3,0.724807111052737,0.4690085624826743,0.0920779031317158
E63813,T91473,Perform load testing,testing,"['react', 'spark', 'microservices', 'spring', 'jenkins']","['numpy', 'pytorch']",0.0,3,0.6521642188602972,0.426558261417876,0.6194011389135793
E93166,T30961,Train NLP models,ai/ml,"['seo', 'node.js', 'bash', 'prometheus', 'spark', 'react', 'power bi']",['azure'],0.0,3,0.8006802498172906,0.7241959275241376,0.32759279491351645
E2165,T29654,Perform load testing,testing,"['LSTM', 'azure', 'seo', 'kafka', 'kubernetes']",['mongodb'],0.0,3,0.7143253629012073,0.7241737538063575,0.2944539020485625
E29517,T10493,Set up CI/CD pipeline,devops,"['django', 'java', 'xgboost', 'pytorch']","['figma', 'spark']",0.0,2,0.6466908640457028,0.537365241485561,0.20511367431829144
E26687,T30616,Develop ML models,data science,"['java', 'scikit-learn', 'kafka', 'tableau']","['rest api', 'transformer', 'selenium']",0.0,2,0.6630761074348107,0.43396150939483,0.1579770918446401
E71367,T30843,Design UI,frontend,"['terraform', 'jenkins', 'grafana', 'LSTM', 'javascript', 'spark']","['matplotlib', 'java']",0.0,2,0.685361361019245,0.6250588697828818,0.29355986475005313
E88649,T96866,Analyze customer churn,data science,"['mongodb', 'c++', 'figma', 'git', 'tensorflow']","['django', 'microservices']",0.0,3,0.7122914339531995,0.4578787202076713,0.13761114872301544
E21317,T23645,Design UI,frontend,"['git', 'sap', 'bash', 'xgboost']","['django', 'pytest', 'transformer']",0.0,3,0.6956116936087718,0.6702568545573043,0.5112791581549774
E29453,T2854,Develop API endpoints,backend,"['aws', 'power bi', 'salesforce', 'terraform', 'python']","['angular', 'azure', 'bash']",0.0,3,0.7287337579196109,0.4248756097151575,0.4624440662790737
E16253,T26816,Automate tests,testing,"['jenkins', 'docker', 'LSTM', 'oracle']","['java', 'tableau', 'jira']",0.0,3,0.7379430713990416,0.5549116590657004,0.41017657836477717
E38516,T53312,Set up CI/CD pipeline,devops,"['terraform', 'azure', 'microservices', 'spring', 'power bi']","['prometheus', 'sap', 'pytorch']",0.0,3,0.6855613682741436,0.40434753348249586,0.3232056384196589
E92181,T2415,Develop ML models,data science,"['css', 'tableau', 'tensorflow', 'gcp']","['matplotlib', 'IsolationForest', 'mongodb']",0.0,3,0.6241754941960658,0.7164153576939091,0.2231768913843391
E74111,T14707,Perform load testing,testing,"['html', 'xgboost', 'git', 'tensorflow', 'catboost']",['microservices'],0.0,2,0.6808993472333457,0.6410864844408513,0.24932938049744474
E69806,T60440,Train NLP models,ai/ml,"['pandas', 'sap', 'kubernetes', 'microservices']",['power bi'],0.0,2,0.7653758836338749,0.7452855408651393,0.15873624933342212
E51576,T88334,Perform load testing,testing,"['postgresql', 'IsolationForest', 'selenium', 'pandas']","['flask', 'grafana', 'seo']",0.0,3,0.6688554213587956,0.49505150104795126,0.16661755299535586
E70092,T99320,Optimize frontend performance,frontend,"['scikit-learn', 'git', 'bash', 'html']",['rest api'],0.0,3,0.671078691255741,0.4474019362788568,0.0229491494742452
E31913,T58954,Train NLP models,ai/ml,"['angular', 'oracle', 'terraform', 'bash', 'tableau', 'hibernate', 'jira']","['catboost', 'vue']",0.0,3,0.8514306427385594,0.5284029246314635,0.22271475679992672
E71098,T38480,Automate tests,testing,"['html', 'bash', 'big data', 'c++', 'transformer', 'seo', 'catboost']","['kubernetes', 'flask', 'microservices']",0.0,3,0.6093308874530694,0.4332206158460371,0.043854776756026614
E79372,T85413,Migrate services to Azure,cloud,"['tensorflow', 'transformer', 'mongodb', 'django']",['xgboost'],0.0,2,0.6858188144752095,0.57073261156803,-0.019261746526722412
E2229,T64270,Optimize frontend performance,frontend,"['aws', 'python', 'LSTM', 'scikit-learn']",['bash'],0.0,3,0.7030903725921301,0.45036426093011706,0.12108142927241423
E17846,T72995,Design UI,frontend,"['postgresql', 'django', 'hibernate', 'rest api', 'pandas', 'flask']",['matplotlib'],0.0,3,0.6714154466416878,0.6328039705307565,0.33532262178183864
E6646,T18581,Automate tests,testing,"['scikit-learn', 'wordpress', 'rest api', 'pandas', 'spring']","['kubernetes', 'power bi', 'grafana']",0.0,2,0.7565929985223885,0.5624504731282214,0.05402443836298865
E91254,T72444,Analyze customer churn,data science,"['mysql', 'c++', 'transformer', 'tableau', 'microservices', 'vue']","['matplotlib', 'linux']",0.0,2,0.674721589874342,0.5533294579431028,0.22339925759756293
E67678,T75894,Monitor production systems,devops,"['wordpress', 'jira', 'xgboost', 'transformer', 'azure', 'jenkins']","['pandas', 'selenium']",0.0,3,0.6633642042352741,0.7161027437902435,-0.06775960325231162
E99044,T20981,Perform load testing,testing,"['xgboost', 'mongodb', 'tableau', 'angular', 'rest api', 'linux']","['git', 'python', 'aws']",0.0,3,0.7002041670229148,0.6400835941380256,0.2533544404150588
E91253,T2910,Train NLP models,ai/ml,"['kafka', 'pytorch', 'microservices', 'xgboost', 'transformer']",['mongodb'],0.0,2,0.7185494604265501,0.5429943008303177,0.2050637756530429
E3513,T88430,Automate tests,testing,"['react', 'transformer', 'selenium', 'terraform', 'prometheus']",['html'],0.0,3,0.6787008910596569,0.6594553643323192,0.39931746138660584
E37910,T63175,Optimize frontend performance,frontend,"['bash', 'gcp', 'python', 'aws', 'IsolationForest']","['kafka', 'mongodb', 'selenium']",0.0,3,0.7070393796744989,0.5679802697089164,0.2803590129595979
E11287,T55050,Perform load testing,testing,"['matplotlib', 'angular', 'IsolationForest', 'aws']",['git'],0.0,3,0.6750702378767128,0.5257389349962207,0.24191950616193372
E52263,T57735,Automate tests,testing,"['c++', 'LSTM', 'angular', 'matplotlib']",['django'],0.0,2,0.7257552470578926,0.45814833114582676,-0.06972818390401558
E85319,T63817,Optimize cloud costs,cloud,"['prometheus', 'xgboost', 'django', 'spring']",['docker'],0.0,3,0.675670979791382,0.36069703986082213,0.3055276933444573
E95248,T16102,Optimize cloud costs,cloud,"['transformer', 'postgresql', 'aws', 'tableau', 'angular', 'seo']","['ARIMA', 'css', 'tensorflow']",0.0,2,0.740046256519426,0.6907544691224989,0.5633588489555479
E6377,T47305,Set up CI/CD pipeline,devops,"['java', 'gcp', 'python', 'grafana', 'react', 'flask']",['microservices'],0.0,2,0.6640887988891674,0.6513267563816738,0.17516276957678506
E28129,T19233,Migrate services to Azure,cloud,"['rest api', 'sql', 'oracle', 'xgboost', 'seo']",['big data'],0.0,3,0.7262680519186433,0.7162178342091844,0.36766661987500315
E82710,T71423,Analyze customer churn,data science,"['matplotlib', 'mysql', 'tableau', 'java']",['css'],0.0,3,0.6262352602075457,0.4283236384517789,0.15800609981694094
E75868,T49945,Perform load testing,testing,"['numpy', 'terraform', 'bash', 'node.js', 'linux', 'spark']",['power bi'],0.0,3,0.7973462920067685,0.4286324916419242,0.4203501969045743
E63919,T82270,Train NLP models,ai/ml,"['prometheus', 'git', 'grafana', 'pytorch', 'java', 'mongodb']",['sap'],0.0,3,0.6887206791917576,0.5652888316016188,0.17069734856371346
E58315,T27358,Develop ML models,data science,"['pytest', 'pytorch', 'spring', 'html', 'pandas']","['angular', 'mongodb', 'oracle']",0.0,2,0.6862753368568063,0.4358903448624706,0.2659579072050659
E39386,T7604,Optimize frontend performance,frontend,"['aws', 'git', 'prometheus', 'docker', 'wordpress', 'jira', 'power bi']","['tensorflow', 'kafka', 'azure']",0.0,2,0.7404952292776863,0.42488565409595525,0.23329776518891637
E99296,T66572,Train NLP models,ai/ml,"['vue', 'sql', 'bash', 'gcp']","['python', 'aws', 'docker']",0.0,3,0.7143737782964412,0.6270833292986429,0.06419602612773903
E3352,T77701,Automate tests,testing,"['jenkins', 'oracle', 'postgresql', 'git', 'figma', 'java', 'javascript']","['tableau', 'flask']",0.0,3,0.6778474179755785,0.6859379415984179,0.32668796979763326
E33151,T45976,Design UI,frontend,"['java', 'linux', 'jenkins', 'selenium', 'power bi', 'scikit-learn', 'xgboost']",['tableau'],0.0,3,0.7254483161163345,0.42509066775108617,0.3271100340093349
E76020,T51440,Design UI,frontend,"['oracle', 'python', 'hibernate', 'grafana', 'prometheus']",['IsolationForest'],0.0,3,0.8258702437619241,0.5435008034927742,0.20298986509960487
E94339,T69152,Develop API endpoints,backend,"['rest api', 'matplotlib', 'azure', 'wordpress', 'jenkins', 'transformer', 'css']","['selenium', 'flask', 'spring']",0.0,3,0.6820102721049859,0.6760173641978487,0.46535490230541815
E2057,T52575,Monitor production systems,devops,"['c++', 'bash', 'pytest', 'grafana', 'sap']",['terraform'],0.0,3,0.7318622202033446,0.7083366996617395,0.5004173232391796
E81735,T38640,Develop ML models,data science,"['salesforce', 'pytorch', 'mongodb', 'azure', 'figma']",['catboost'],0.0,3,0.7150801823643625,0.6575168431600829,0.326547086134653
E30481,T72555,Optimize frontend performance,frontend,"['sap', 'azure', 'docker', 'terraform', 'pytest', 'react', 'javascript']","['sql', 'grafana']",0.0,3,0.7390142993210006,0.6479606787937926,0.19203145102106142
E6806,T26337,Migrate services to Azure,cloud,"['pytest', 'python', 'IsolationForest', 'numpy', 'node.js', 'tableau', 'pytorch']",['power bi'],0.0,3,0.668259864029771,0.5069272548113953,0.3364759130410784
E90811,T32177,Optimize frontend performance,frontend,"['html', 'tableau', 'big data', 'salesforce', 'sql', 'spring']","['node.js', 'css', 'microservices']",0.0,3,0.7439857198012324,0.7274361411140299,0.307311029645139
E7936,T86902,Develop API endpoints,backend,"['azure', 'vue', 'angular', 'linux']",['sql'],0.0,2,0.699440214270047,0.5758561198978349,0.07320032442507068
E87524,T23682,Optimize frontend performance,frontend,"['matplotlib', 'mysql', 'spark', 'catboost', 'pytest', 'rest api']","['big data', 'django']",0.0,3,0.7100556699376178,0.4400392457063914,0.05617397208240038
E85991,T58003,Develop API endpoints,backend,"['pandas', 'tableau', 'postgresql', 'rest api', 'aws']","['wordpress', 'scikit-learn', 'seo']",0.0,3,0.7292434609669236,0.6271500513853876,0.4042007017851269
E99385,T13091,Perform load testing,testing,"['node.js', 'pytest', 'terraform', 'big data', 'java', 'LSTM', 'oracle']",['pandas'],0.0,2,0.6172149221516943,0.4273079851689192,0.08737901599867619
E11295,T85751,Design UI,frontend,"['node.js', 'prometheus', 'pandas', 'pytest']",['microservices'],0.0,2,0.6616905573380994,0.610671170360577,0.32836721942226044
E79633,T42800,Migrate services to Azure,cloud,"['numpy', 'tensorflow', 'prometheus', 'ARIMA']","['linux', 'jenkins']",0.0,3,0.7154148494041538,0.6674915343020312,0.012242045681903846
E23379,T10316,Develop API endpoints,backend,"['matplotlib', 'flask', 'sql', 'jira']","['grafana', 'sap']",0.0,2,0.7164789482094491,0.39143888619514156,0.08418552158683151
E16208,T29610,Design UI,frontend,"['flask', 'selenium', 'matplotlib', 'django']","['jenkins', 'numpy']",0.0,3,0.778596654000467,0.45064787880866597,0.4976202132584786
E99940,T24384,Perform load testing,testing,"['hibernate', 'html', 'oracle', 'microservices', 'kubernetes', 'grafana']",['aws'],0.0,2,0.7120215279649194,0.5933782546110118,0.47678330094370613
E85010,T85200,Develop API endpoints,backend,"['prometheus', 'spring', 'matplotlib', 'sap', 'angular', 'linux', 'LSTM']","['kubernetes', 'numpy']",0.0,3,0.6522292804151854,0.6362555030164985,0.3304816951063042
E43773,T21832,Implement authentication,backend,"['java', 'javascript', 'big data', 'hibernate', 'linux']","['git', 'matplotlib']",0.0,2,0.6896024509032451,0.40932172808528444,0.37362349181623516
E98893,T88696,Train NLP models,ai/ml,"['matplotlib', 'oracle', 'react', 'gcp', 'numpy']",['pandas'],0.0,2,0.6493612025160286,0.5714235295539541,0.1225345724442475
E47386,T23493,Develop API endpoints,backend,"['terraform', 'azure', 'LSTM', 'django', 'tensorflow', 'power bi', 'gcp']","['vue', 'numpy', 'angular']",0.0,2,0.6674233123275037,0.3748635231810281,0.14201769695367927
E38745,T70369,Perform load testing,testing,"['salesforce', 'docker', 'pytorch', 'linux']",['kafka'],0.0,3,0.6908737096715235,0.6375917974510156,0.2548090628528918
E4472,T56478,Monitor production systems,devops,"['aws', 'IsolationForest', 'kafka', 'spring', 'salesforce', 'scikit-learn']",['grafana'],0.0,2,0.7214418333491761,0.6338143456257506,0.08033701950222688
E70682,T82488,Train NLP models,ai/ml,"['linux', 'numpy', 'wordpress', 'LSTM', 'mysql', 'pandas', 'java']","['seo', 'wordpress']",0.125,3,0.7146581389824961,0.5188597351301117,0.24434025890881333
E25395,T72542,Optimize cloud costs,cloud,"['salesforce', 'microservices', 'seo', 'spring', 'mysql', 'power bi', 'IsolationForest']",['azure'],0.0,2,0.7506176542571996,0.3639449095514131,0.39856352808173656
E36799,T77428,Optimize frontend performance,frontend,"['IsolationForest', 'grafana', 'git', 'spark', 'pytorch', 'gcp', 'oracle']",['jira'],0.0,2,0.621807833662979,0.5011225864885012,0.2190598882048461
E97482,T63357,Develop ML models,data science,"['numpy', 'tensorflow', 'prometheus', 'seo', 'scikit-learn', 'microservices']",['mysql'],0.0,3,0.7732885502733287,0.6386318095757553,0.23324376155097964
E93697,T84974,Optimize cloud costs,cloud,"['IsolationForest', 'flask', 'kubernetes', 'jira', 'java']",['LSTM'],0.0,3,0.7836316073263233,0.7246247812604633,0.11236389602756158
E69947,T41662,Monitor production systems,devops,"['selenium', 'big data', 'flask', 'xgboost']",['salesforce'],0.0,3,0.6342648390084037,0.5513767398074527,0.35800137096491497
E96618,T27453,Analyze customer churn,data science,"['catboost', 'pandas', 'git', 'postgresql', 'c++']",['LSTM'],0.0,3,0.618367527899483,0.42905150014681703,0.17215803220478576
E69719,T64566,Develop API endpoints,backend,"['angular', 'scikit-learn', 'salesforce', 'IsolationForest']","['catboost', 'django', 'wordpress']",0.0,3,0.7008741184885976,0.45693460393630203,0.14506381971270105
E37188,T80265,Develop ML models,data science,"['react', 'catboost', 'terraform', 'sql', 'node.js']",['linux'],0.0,3,0.658481275413009,0.3823083140298198,0.3297546371624214
E52969,T26207,Develop API endpoints,backend,"['numpy', 'linux', 'python', 'oracle']","['matplotlib', 'sap', 'react']",0.0,2,0.6412260158573604,0.6877619876570764,0.3852932816465251
E86081,T54325,Perform load testing,testing,"['css', 'c++', 'tensorflow', 'rest api']",['javascript'],0.0,3,0.7233987392551938,0.6205495561397134,0.18542617935122352
E50849,T19068,Set up CI/CD pipeline,devops,"['power bi', 'flask', 'sql', 'prometheus']","['wordpress', 'spring']",0.0,2,0.6660147020274768,0.5660267618913466,0.15181382293296578
E43008,T20479,Optimize frontend performance,frontend,"['git', 'linux', 'aws', 'matplotlib', 'docker']","['css', 'mysql']",0.0,2,0.5863180038623768,0.40777525860401054,0.41429174492735055
E18353,T62248,Analyze customer churn,data science,"['vue', 'aws', 'flask', 'matplotlib', 'c++', 'xgboost']","['wordpress', 'figma']",0.0,2,0.7611014479246908,0.6801046461242987,0.10869125759004808
E84274,T54435,Develop recommendation system,ai/ml,"['spring', 'terraform', 'prometheus', 'azure', 'node.js']","['vue', 'sql', 'rest api']",0.0,2,0.7505973865772307,0.7260110779871931,0.23329619757325784
E19362,T90775,Implement authentication,backend,"['sql', 'pandas', 'tableau', 'hibernate', 'javascript']",['terraform'],0.0,2,0.6704693491021949,0.5526338973457061,0.2043761975168926
E18941,T80347,Automate tests,testing,"['sql', 'vue', 'aws', 'kafka', 'mysql', 'numpy', 'kubernetes']",['hibernate'],0.0,3,0.6808462137311131,0.6727501710990516,0.25693371774337453
E48824,T66579,Implement authentication,backend,"['vue', 'selenium', 'sap', 'jira', 'c++']","['flask', 'javascript', 'react']",0.0,3,0.7195002111648477,0.5479771298737998,0.20751660055110133
E88558,T64590,Develop recommendation system,ai/ml,"['prometheus', 'react', 'tensorflow', 'wordpress', 'microservices', 'jenkins']","['LSTM', 'bash', 'python']",0.0,3,0.688399308453742,0.4992753807148812,0.24302118975032316
E79954,T47181,Develop recommendation system,ai/ml,"['big data', 'gcp', 'javascript', 'spring', 'c++', 'selenium', 'xgboost']",['docker'],0.0,3,0.5866233465819275,0.5216200870395994,0.1410928162946825
E46100,T5997,Automate tests,testing,"['kubernetes', 'IsolationForest', 'scikit-learn', 'git', 'flask']","['IsolationForest', 'pytest', 'azure']",0.14285714285714285,2,0.7786435628997538,0.7072345790412669,0.5059218973155135
E91925,T79965,Migrate services to Azure,cloud,"['css', 'pandas', 'jira', 'pytorch']",['IsolationForest'],0.0,2,0.7367867217174502,0.6891517113770349,0.38962229234962287
E32560,T38306,Optimize frontend performance,frontend,"['vue', 'catboost', 'tableau', 'figma', 'rest api', 'pandas', 'power bi']","['css', 'git']",0.0,2,0.7401939825948505,0.6471101012526521,0.27704194430459606
E6890,T17572,Migrate services to Azure,cloud,"['css', 'power bi', 'hibernate', 'catboost', 'tensorflow', 'git', 'big data']","['prometheus', 'pandas']",0.0,3,0.6713636308881108,0.42253828715109354,0.11779013027982185
E1710,T47637,Analyze customer churn,data science,"['catboost', 'mysql', 'ARIMA', 'LSTM', 'javascript', 'vue', 'bash']","['postgresql', 'angular', 'spark']",0.0,3,0.7344942632139945,0.4217441072526277,0.26238828874483755
E13967,T63900,Set up CI/CD pipeline,devops,"['pytorch', 'python', 'java', 'microservices', 'aws', 'scikit-learn', 'ARIMA']",['spring'],0.0,3,0.721568162830788,0.6870893241108952,0.09586169250135304
E9424,T10379,Monitor production systems,devops,"['spark', 'rest api', 'oracle', 'c++', 'tensorflow', 'html']","['django', 'docker']",0.0,2,0.6758851430231525,0.3963068188869855,0.043976190576658386
E88778,T70895,Develop recommendation system,ai/ml,"['pandas', 'tensorflow', 'mysql', 'hibernate', 'html']",['numpy'],0.0,2,0.605616428935152,0.7450426495372533,0.23684959616952678
E92577,T42933,Develop API endpoints,backend,"['figma', 'jira', 'node.js', 'java', 'ARIMA']",['aws'],0.0,3,0.7753132126317754,0.7116635571219624,0.31065734015856666
E5892,T36337,Optimize cloud costs,cloud,"['aws', 'xgboost', 'scikit-learn', 'css']","['node.js', 'bash', 'sql']",0.0,2,0.6961869552627514,0.6587391951845369,0.40052326808522487
E13559,T96667,Implement authentication,backend,"['spark', 'gcp', 'azure', 'kubernetes', 'salesforce', 'node.js', 'figma']",['terraform'],0.0,2,0.6797867495268186,0.6536639920033338,0.4011886986930009
E53070,T29921,Design UI,frontend,"['linux', 'salesforce', 'grafana', 'jira']","['kafka', 'java']",0.0,3,0.7178106193881012,0.5926371748320225,0.25063987992151726
E62842,T33110,Implement authentication,backend,"['mysql', 'catboost', 'ARIMA', 'grafana', 'selenium', 'docker']",['mongodb'],0.0,3,0.7463588361534282,0.4625968268511741,0.3177776774047009
E29923,T36965,Implement authentication,backend,"['wordpress', 'scikit-learn', 'matplotlib', 'javascript', 'selenium', 'git']","['prometheus', 'pytest']",0.0,2,0.6728245939202572,0.5373160911583761,0.34398015453213165
E2151,T15209,Set up CI/CD pipeline,devops,"['pandas', 'sql', 'vue', 'react', 'prometheus', 'postgresql']",['rest api'],0.0,2,0.723787420717518,0.49465772459459423,0.26048422721783265
E84147,T4607,Automate tests,testing,"['grafana', 'pytest', 'wordpress', 'spark', 'node.js', 'catboost', 'flask']","['bash', 'rest api']",0.0,2,0.7018667108770482,0.6320938466387214,0.2219685295281456
E70628,T57454,Train NLP models,ai/ml,"['pytest', 'node.js', 'selenium', 'jenkins', 'salesforce', 'prometheus']",['c++'],0.0,2,0.7375867062741164,0.5040295788591045,0.4109210679453946
E72102,T3971,Monitor production systems,devops,"['react', 'angular', 'pytest', 'hibernate', 'django']","['wordpress', 'azure']",0.0,3,0.6813220842689666,0.3850532217471435,0.0030424838770413687
E10612,T22548,Perform load testing,testing,"['seo', 'power bi', 'prometheus', 'git']",['grafana'],0.0,2,0.6831065855940889,0.4995567798149657,0.3591702582408259
E98784,T88542,Migrate services to Azure,cloud,"['hibernate', 'css', 'grafana', 'javascript', 'django']","['scikit-learn', 'oracle', 'pytorch']",0.0,3,0.6810759224575119,0.4162217546577025,0.24782844750498415
E36934,T49358,Implement authentication,backend,"['ARIMA', 'rest api', 'scikit-learn', 'IsolationForest']","['c++', 'git', 'pytorch']",0.0,3,0.6872173168417564,0.39740504365339047,0.3220381643250458
E16529,T33277,Develop ML models,data science,"['microservices', 'tableau', 'selenium', 'vue', 'mysql', 'scikit-learn']","['pandas', 'terraform', 'transformer']",0.0,2,0.7262922879461993,0.3606842051091632,0.08477704057274812
E21650,T40364,Set up CI/CD pipeline,devops,"['scikit-learn', 'pytest', 'pandas', 'aws']","['linux', 'kafka']",0.0,2,0.6727403201872791,0.5627851421309774,0.2592566123513189
E81720,T14538,Develop recommendation system,ai/ml,"['numpy', 'prometheus', 'xgboost', 'pytest']","['python', 'kafka', 'spring']",0.0,3,0.7678227200352212,0.7295629691325758,-0.06952416898548913
